subject,group,context,file,sig,pcl,BG,EX,blur,lpf,drift,actStart,actEnd,cm_px,stimX,stimY,angle,cv,apexAngle,notes
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,5,67.2744,115,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,15,58.7951,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,25,74.3114,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,35,64.2724,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,45,63.043,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,55,56.1516,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,65,46.8613,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,75,54.1037,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,85,58.6256,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,95,72.2517,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,105,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,115,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,125,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,135,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,145,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,155,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,165,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,175,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,185,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,195,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,205,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,215,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,225,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,235,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,245,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,255,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,265,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,275,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,285,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,295,NaN,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,305,81.3756,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,315,58.9189,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,325,60.8619,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,335,61.0325,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,345,57.81,,
20180522-rata,mehp,base,20180522-rata-05.sif,vm,240,0.3,0.5,15,50,NA,1.194,1.23,0.004761626,0.15369,0.74254,355,67.0736,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,5,64.3669,115,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,15,65.5163,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,25,77.8848,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,35,80.0113,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,45,65.3797,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,55,54.9609,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,65,49.543,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,75,55.6283,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,85,62.8287,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,95,68.1975,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,105,NaN,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,115,NaN,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,125,NaN,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,135,NaN,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,145,NaN,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,155,NaN,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,165,NaN,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,175,NaN,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,185,NaN,,
