X,Y
1,585.520
2,593.480
3,591.680
4,606.840
5,609.720
6,591.080
7,592.560
8,596.040
9,592.400
10,602.160
11,591.400
12,589.880
13,599.320
14,598.920
15,596.120
16,603.600
17,603.920
18,606.480
19,597.160
20,598.680
21,586.400
22,598.360
23,584.600
24,593.800
25,599.720
26,601.640
27,588.680
28,603.440
29,586.400
30,576.920
31,590.720
32,580.640
33,580.920
34,584.840
35,586.760
36,578.080
37,590.360
38,576.680
39,587.280
40,590.040
41,587.280
42,583.280
43,579.320
44,571.200
45,583.920
46,589.080
47,575.040
48,566.200
49,571.080
50,570.120
51,577.520
52,562.320
53,555.880
54,564.280
55,560.000
56,564.400
57,563.520
58,572.600
59,561.840
60,561.320
61,561.840
62,554.680
63,553.200
64,562.000
65,565.600
66,549.400
67,554.400
68,550.200
69,548.000
70,545.840
71,547.760
72,539.720
73,536.960
74,542.720
75,542.760
76,536.400
77,529.760
78,529.720
79,535.680
80,519.280
81,525.080
82,536.280
83,529.040
84,526.840
85,534.040
86,528.880
87,518.040
88,515.920
89,512.560
90,518.720
91,502.080
92,507.920
93,518.920
94,513.880
95,515.880
96,513.760
97,508.320
98,497.920
99,513.560
100,512.720
101,502.600
102,507.920
103,516.480
104,504.040
105,513.480
106,498.120
107,495.920
108,496.600
109,502.240
110,508.520
111,506.360
112,513.040
113,499.000
114,505.520
115,494.840
116,493.560
117,497.920
118,498.200
119,499.920
120,502.040
121,498.000
122,497.720
123,501.160
124,499.600
125,493.040
126,496.720
127,495.840
128,496.560
129,490.640
130,496.560
131,482.480
132,499.200
133,488.040
134,486.000
135,504.920
136,497.240
137,494.920
138,488.440
139,497.600
140,486.520
141,493.240
142,494.760
143,494.040
144,491.000
145,489.800
146,480.440
147,482.600
148,497.160
149,491.720
150,487.040
151,491.160
152,495.640
153,484.360
154,488.800
155,490.480
156,478.720
157,492.200
158,492.280
159,487.000
160,495.280
161,491.280
162,497.280
163,479.200
164,487.440
165,496.560
166,496.080
167,490.200
168,487.320
169,476.240
170,490.040
171,491.160
172,478.640
173,480.880
174,484.840
175,490.600
176,489.600
177,492.160
178,489.120
179,487.360
180,487.360
181,484.280
182,497.240
183,483.120
184,478.240
185,479.440
186,486.000
187,486.880
188,485.960
189,480.000
190,483.120
191,481.240
192,482.800
193,492.680
194,494.000
195,480.440
196,489.560
197,478.640
198,491.000
199,488.080
200,487.560
201,479.600
202,489.840
203,482.520
204,478.840
205,481.520
206,478.000
207,488.760
208,481.480
209,477.280
210,476.080
211,484.040
212,483.680
213,482.600
214,484.840
215,489.040
216,479.280
217,482.720
218,477.520
219,486.800
220,479.680
221,479.160
222,490.760
223,484.040
224,486.120
225,487.000
226,491.560
227,479.680
228,485.200
229,490.800
230,470.920
231,484.040
232,481.680
233,479.120
234,487.520
235,483.640
236,487.480
237,483.360
238,483.080
239,480.040
240,468.000
241,476.880
242,475.400
243,473.960
244,488.920
245,486.160
246,492.240
247,484.480
248,483.120
249,482.000
250,475.000
251,467.920
252,483.000
253,489.520
254,483.920
255,477.600
256,478.000
257,477.760
258,476.800
259,487.760
260,474.680
261,481.920
262,483.200
263,473.200
264,472.040
265,483.760
266,478.400
267,488.920
268,491.960
269,480.600
270,486.880
271,485.000
272,477.560
273,489.640
274,476.720
275,486.280
276,486.200
277,482.080
278,473.280
279,468.040
280,470.120
281,489.040
282,474.480
283,478.800
284,484.080
285,480.400
286,482.800
287,472.200
288,478.400
289,484.280
290,480.880
291,483.560
292,474.120
293,478.400
294,473.720
295,487.560
296,476.760
297,479.040
298,474.600
299,473.280
300,481.120
301,486.280
302,480.960
303,475.320
304,477.680
305,474.560
306,484.720
307,493.480
308,479.000
309,494.000
310,499.760
311,499.600
312,511.280
313,529.600
314,539.440
