X,Y
1,1631.200
2,1616.160
3,1630.200
4,1620.120
5,1639.000
6,1626.640
7,1623.000
8,1627.280
9,1622.000
10,1616.480
11,1625.040
12,1600.720
13,1612.680
14,1627.800
15,1615.440
16,1619.560
17,1617.800
18,1618.720
19,1639.560
20,1616.720
21,1629.120
22,1617.760
23,1625.080
24,1628.160
25,1641.480
26,1619.200
27,1627.800
28,1622.320
29,1623.520
30,1623.880
31,1619.640
32,1603.880
33,1615.840
34,1623.320
35,1613.120
36,1595.720
37,1630.680
38,1638.920
39,1624.840
40,1613.080
41,1630.680
42,1616.240
43,1646.640
44,1635.920
45,1618.000
46,1622.880
47,1614.680
48,1627.760
49,1617.120
50,1624.240
51,1643.880
52,1638.520
53,1629.400
54,1627.320
55,1659.840
56,1631.800
57,1636.800
58,1617.400
59,1636.400
60,1634.320
61,1631.160
62,1629.720
63,1615.080
64,1628.920
65,1656.640
66,1643.920
67,1644.120
68,1620.200
69,1626.800
70,1647.880
71,1641.560
72,1635.640
73,1638.880
74,1655.080
75,1632.920
76,1636.360
77,1659.040
78,1644.000
79,1646.520
80,1658.080
81,1621.120
82,1641.680
83,1628.040
84,1650.120
85,1639.480
86,1639.480
87,1651.880
88,1641.680
89,1672.160
90,1649.080
91,1620.840
92,1630.600
93,1652.200
94,1647.760
95,1629.240
96,1650.760
97,1636.200
98,1627.280
99,1653.000
100,1641.000
101,1630.840
102,1631.440
103,1629.440
104,1644.920
105,1649.000
106,1651.160
107,1650.200
108,1636.360
109,1645.320
110,1630.960
111,1643.560
112,1631.960
113,1636.600
114,1628.120
115,1645.400
116,1656.640
117,1637.600
118,1632.640
119,1647.280
120,1628.880
121,1650.800
122,1621.280
123,1636.680
124,1638.880
125,1644.480
126,1641.840
127,1646.440
128,1625.400
129,1629.560
130,1649.240
131,1643.280
132,1631.160
133,1650.400
134,1646.960
135,1629.280
136,1625.320
137,1642.680
138,1643.680
139,1624.160
140,1639.640
141,1628.320
142,1649.400
143,1632.040
144,1632.720
145,1634.960
146,1624.920
147,1644.600
148,1621.640
149,1625.120
150,1626.560
151,1627.000
152,1650.160
153,1645.400
154,1656.760
155,1622.640
156,1627.080
157,1623.840
158,1632.800
159,1644.240
160,1638.640
161,1629.760
162,1635.360
163,1630.480
164,1623.000
165,1633.760
166,1640.680
167,1631.080
168,1616.840
169,1618.400
170,1628.640
171,1631.920
172,1635.720
173,1616.120
174,1622.200
175,1624.520
176,1613.080
177,1623.880
178,1636.360
179,1619.560
180,1610.920
181,1636.000
182,1627.040
183,1646.840
184,1640.600
185,1625.120
186,1653.360
187,1628.760
188,1615.120
189,1629.200
190,1632.440
191,1646.920
192,1635.960
193,1640.920
194,1617.480
195,1637.360
196,1634.920
197,1621.520
198,1633.240
199,1637.320
200,1607.920
201,1623.720
202,1615.040
203,1622.080
204,1634.160
205,1626.000
206,1643.840
207,1627.320
208,1627.120
209,1623.720
210,1607.800
211,1627.840
212,1621.160
213,1643.880
214,1625.600
215,1628.920
216,1629.120
217,1615.480
218,1617.000
219,1617.760
220,1618.000
221,1620.040
222,1605.160
223,1640.240
224,1633.840
225,1622.360
226,1603.600
227,1610.560
228,1622.320
229,1622.000
230,1619.240
231,1637.760
232,1591.160
233,1619.960
234,1615.280
235,1635.720
236,1631.160
237,1631.960
238,1621.880
239,1619.480
240,1624.280
241,1613.640
242,1619.920
243,1638.320
244,1622.840
245,1634.680
246,1630.600
247,1634.600
248,1623.760
249,1607.160
250,1599.800
251,1614.440
252,1622.440
253,1617.280
254,1627.920
255,1625.520
256,1620.840
257,1629.320
258,1632.880
259,1621.040
260,1616.200
261,1623.000
262,1620.920
263,1622.800
264,1627.680
265,1628.800
266,1623.920
267,1623.680
268,1630.880
269,1622.640
270,1632.200
271,1618.520
272,1634.200
273,1618.920
274,1629.760
275,1628.160
276,1628.400
277,1610.720
278,1633.720
279,1623.440
280,1621.480
281,1614.040
282,1611.040
283,1618.240
284,1603.680
285,1626.120
286,1628.160
287,1618.480
288,1622.200
289,1616.720
290,1626.800
291,1612.320
292,1621.000
293,1622.560
294,1632.040
295,1612.240
296,1627.560
297,1613.640
298,1629.320
299,1603.000
300,1629.960
301,1629.360
302,1640.280
303,1625.120
304,1614.720
305,1609.480
306,1618.400
307,1624.600
308,1631.600
309,1618.080
310,1619.200
311,1615.720
312,1599.720
313,1590.480
314,1587.000
315,1590.920
316,1571.320
317,1569.720
318,1589.400
319,1555.160
320,1577.160
321,1570.240
322,1586.560
323,1578.040
324,1573.440
325,1582.000
326,1587.320
327,1594.720
328,1572.520
329,1568.480
330,1583.120
331,1592.760
332,1583.600
333,1589.120
334,1589.040
335,1581.800
336,1595.880
337,1579.680
338,1579.560
339,1580.440
340,1592.600
341,1586.200
342,1588.040
343,1578.680
344,1584.680
345,1586.040
346,1587.200
347,1603.080
348,1584.400
349,1590.720
350,1606.760
351,1581.400
352,1592.440
353,1601.560
354,1603.640
355,1609.800
356,1592.560
357,1595.760
358,1589.600
359,1590.320
360,1580.920
361,1590.080
362,1574.160
363,1595.200
364,1598.480
365,1581.320
366,1588.480
367,1581.240
368,1591.960
369,1578.880
370,1612.960
371,1604.120
372,1606.280
373,1586.760
374,1611.800
375,1598.840
376,1583.960
377,1587.200
378,1606.360
379,1597.840
380,1602.240
381,1605.240
382,1605.800
383,1599.880
384,1609.000
385,1586.560
386,1608.160
387,1622.920
388,1619.240
389,1615.120
390,1613.840
391,1611.920
392,1610.960
393,1626.560
394,1621.800
395,1611.920
396,1602.400
397,1614.920
398,1611.120
399,1613.560
400,1605.920
401,1623.280
402,1631.000
403,1602.680
404,1594.040
405,1579.240
406,1618.400
407,1634.200
408,1594.400
409,1633.040
410,1608.360
411,1618.400
412,1626.360
413,1624.680
414,1603.160
415,1613.680
416,1620.440
417,1639.040
418,1603.800
419,1609.800
420,1620.880
421,1617.360
422,1630.360
423,1619.760
424,1624.240
425,1615.160
426,1621.800
427,1618.160
428,1631.080
429,1589.960
430,1615.960
431,1604.000
432,1614.560
433,1602.800
434,1612.280
435,1615.000
436,1612.880
437,1603.400
438,1614.360
439,1610.400
440,1611.640
441,1624.520
442,1605.600
443,1612.040
444,1623.040
445,1610.560
446,1619.920
447,1620.520
448,1607.240
449,1586.720
450,1630.320
451,1610.240
452,1592.840
453,1612.120
454,1589.560
455,1615.240
456,1624.560
457,1633.160
458,1636.680
459,1617.120
460,1621.320
461,1619.840
462,1602.800
463,1601.080
464,1620.920
465,1604.320
466,1622.880
467,1603.040
468,1619.160
469,1619.360
470,1626.400
471,1613.360
472,1611.880
473,1610.560
474,1608.880
475,1612.200
476,1633.920
477,1594.560
478,1607.920
479,1613.560
480,1614.080
481,1614.240
482,1617.040
483,1601.400
484,1612.040
485,1606.120
486,1605.240
487,1604.880
488,1615.920
489,1606.960
490,1610.760
491,1607.280
492,1596.280
493,1615.360
494,1608.600
495,1604.760
496,1605.760
497,1624.640
498,1620.960
