X,Y
1,451.8445
2,447.2933
3,446.9778
4,448.8133
5,446.3156
6,447.7556
7,445.1733
8,445.6133
9,444.7200
10,440.0133
11,443.2267
12,441.2667
13,444.1111
14,441.6844
15,438.5378
16,437.8711
17,441.9867
18,438.0267
19,437.3733
20,437.6178
21,434.2800
22,438.6222
23,433.1555
24,432.1822
25,434.3733
26,435.0311
27,433.0533
28,434.5645
29,433.8978
30,436.3644
31,432.8844
32,432.6533
33,435.0178
34,433.4667
35,434.8889
36,436.8400
37,434.5200
38,436.0311
39,434.8800
40,435.9067
41,433.8844
42,434.0311
43,433.4311
44,433.3911
45,435.6667
46,434.9422
47,437.7600
48,436.6667
49,432.2933
50,437.6844
51,435.1733
52,433.6933
53,433.2711
54,436.2578
55,433.7556
56,438.3511
57,433.1822
58,436.8000
59,435.6578
60,432.9556
61,437.7333
62,432.5733
63,433.0489
64,431.7467
65,433.6889
66,434.1333
67,430.2311
68,429.4311
69,431.8355
70,430.1378
71,428.0667
72,429.5111
73,431.1467
74,428.3867
75,424.8533
76,424.5156
77,424.8044
78,424.6178
79,423.8044
80,426.2000
81,424.3778
82,423.1911
83,419.5378
84,425.7822
85,420.8889
86,421.0489
87,419.6400
88,419.6400
89,417.8133
90,417.6622
91,419.9911
92,419.5467
93,418.8267
94,417.4711
95,416.3778
96,416.4756
97,418.0178
98,418.8578
99,420.1156
100,419.5200
101,419.7289
102,419.8355
103,421.9733
104,422.8355
105,423.3378
106,424.0800
107,426.1111
108,426.9778
109,429.3289
110,428.9822
111,434.3600
112,436.1067
113,438.8267
114,440.4889
115,438.6667
116,444.8933
117,444.7511
118,445.3689
119,445.7911
120,443.5111
121,446.9200
122,446.9378
123,446.6444
124,445.8000
125,450.1022
126,444.6311
127,450.7956
128,445.5911
129,451.3911
130,452.0978
131,448.5289
132,448.1333
133,451.6756
134,450.0667
135,448.1022
136,447.2222
137,448.0133
138,447.8445
139,442.7733
140,445.0133
141,444.7778
142,440.6622
143,443.5645
144,443.5467
145,444.3822
146,439.9067
147,441.7689
148,439.2400
149,436.3822
150,436.4178
151,434.1200
152,431.3556
153,436.6400
154,434.8844
155,434.7022
156,432.2044
157,432.2356
158,432.6711
159,430.6756
160,432.4355
161,429.0622
162,427.5689
163,430.2845
164,432.6311
165,430.7511
166,431.7022
167,434.3111
168,431.9333
169,430.6489
170,432.4711
171,430.8844
172,434.0622
173,436.3289
174,432.6889
175,433.4622
176,432.4400
177,433.9289
178,430.7867
179,433.3689
180,433.3467
181,432.0844
182,433.2044
183,435.9778
184,430.6756
185,436.0444
186,432.2711
187,436.0222
188,435.5289
189,433.9067
190,435.0711
191,435.0800
192,431.8355
193,434.1245
194,432.8933
195,430.2444
196,433.1422
197,432.4533
198,430.4400
199,432.9600
200,430.3511
201,432.3200
202,432.7778
203,433.9600
204,435.8622
205,434.2444
206,436.7733
207,434.3600
208,436.0222
209,430.1733
210,434.4311
211,435.9200
212,434.4445
213,436.1378
214,436.4400
215,435.9955
216,434.8400
217,435.0311
218,434.0400
219,436.2000
220,433.4756
221,435.1822
222,431.4622
223,435.3956
224,433.1378
225,433.6889
226,434.4533
227,439.2178
228,437.4933
229,435.7511
230,435.3422
231,435.5778
232,434.4533
233,437.2178
234,435.8178
235,433.7245
236,433.6267
