X,Y
1,2268.493
2,2262.573
3,2262.169
4,2253.253
5,2256.516
6,2251.498
7,2247.040
8,2247.747
9,2231.582
10,2235.062
11,2230.351
12,2226.173
13,2226.875
14,2220.138
15,2211.284
16,2206.040
17,2199.067
18,2199.707
19,2200.542
20,2194.289
21,2190.093
22,2185.013
23,2191.173
24,2173.773
25,2185.547
26,2170.742
27,2170.115
28,2158.200
29,2154.538
30,2149.640
31,2163.204
32,2152.493
33,2147.542
34,2144.653
35,2151.405
36,2145.196
37,2140.933
38,2129.396
39,2141.231
40,2149.156
41,2141.702
42,2141.480
43,2132.289
44,2131.373
45,2139.049
46,2143.342
47,2129.004
48,2129.978
49,2138.791
50,2141.893
51,2132.756
52,2140.476
53,2134.560
54,2137.751
55,2137.791
56,2145.916
57,2138.338
58,2145.649
59,2145.898
60,2135.324
61,2144.653
62,2140.022
63,2142.169
64,2150.449
65,2146.467
66,2149.302
67,2147.213
68,2143.307
69,2151.222
70,2144.071
71,2154.120
72,2152.787
73,2156.827
74,2152.929
75,2154.978
76,2159.507
77,2158.053
78,2153.658
79,2151.480
80,2154.756
81,2156.702
82,2164.578
83,2160.693
84,2157.925
85,2160.062
86,2162.880
87,2163.236
88,2161.627
89,2163.844
90,2158.978
91,2163.271
92,2161.462
93,2158.635
94,2167.244
95,2158.920
96,2166.360
97,2161.502
98,2160.267
99,2168.204
100,2155.329
101,2159.204
102,2157.804
103,2169.289
104,2156.849
105,2166.800
106,2160.595
107,2167.711
108,2160.987
109,2158.431
110,2170.000
111,2167.498
112,2169.093
113,2154.493
114,2167.858
115,2169.396
116,2157.204
117,2166.031
118,2160.742
119,2166.284
120,2164.840
121,2160.622
122,2164.862
123,2161.964
124,2173.507
125,2171.365
126,2169.022
127,2168.405
128,2167.129
129,2158.640
130,2164.507
131,2169.036
132,2164.684
133,2162.000
134,2158.324
135,2153.111
136,2153.622
137,2155.489
138,2156.938
139,2150.009
140,2161.893
141,2155.720
142,2159.280
143,2163.422
144,2154.693
145,2150.329
146,2154.756
147,2148.773
148,2156.742
149,2162.258
150,2156.560
151,2152.507
152,2151.858
153,2152.107
154,2155.160
155,2156.462
156,2144.853
157,2150.964
158,2163.964
159,2152.520
160,2154.276
161,2156.920
162,2153.449
163,2157.125
164,2157.542
165,2154.382
166,2158.551
167,2157.676
168,2151.022
169,2163.756
170,2160.307
171,2156.120
172,2161.191
173,2168.427
174,2163.542
175,2166.049
176,2163.671
177,2172.213
178,2167.075
179,2177.115
180,2171.809
181,2175.716
182,2180.040
183,2176.578
184,2178.160
185,2182.787
186,2173.618
187,2176.400
188,2174.084
189,2185.622
190,2183.667
191,2184.022
192,2181.280
193,2180.938
194,2177.044
195,2181.564
196,2182.827
197,2176.524
198,2194.973
199,2165.147
200,2189.502
201,2184.480
202,2182.671
203,2179.169
204,2181.009
205,2169.422
206,2178.875
207,2175.405
208,2181.369
209,2174.511
210,2183.427
211,2170.804
212,2175.165
213,2176.387
214,2176.893
215,2173.187
216,2166.933
217,2161.187
218,2170.987
219,2168.956
220,2165.680
221,2164.916
222,2165.502
223,2169.262
224,2166.680
225,2150.529
226,2154.875
227,2154.467
228,2151.551
229,2147.707
230,2148.645
231,2145.902
232,2141.520
233,2142.733
234,2144.142
235,2134.947
236,2132.173
237,2132.493
238,2134.582
239,2123.804
240,2119.524
241,2118.280
242,2112.849
243,2113.427
244,2120.742
245,2113.756
246,2119.733
247,2103.618
248,2102.511
249,2101.547
250,2107.729
251,2103.333
252,2104.951
253,2103.800
254,2089.747
255,2093.778
256,2084.284
257,2099.062
258,2087.791
259,2087.898
260,2083.969
261,2094.231
262,2089.449
263,2081.902
264,2080.822
265,2083.933
266,2078.036
267,2078.813
268,2080.320
269,2088.053
270,2082.964
271,2080.222
272,2081.907
273,2077.418
274,2081.938
275,2088.200
276,2092.627
277,2086.289
278,2083.018
279,2086.329
280,2082.582
281,2081.604
282,2079.240
283,2093.476
284,2081.498
285,2084.031
286,2082.009
287,2079.751
288,2085.618
289,2081.405
290,2084.676
291,2096.302
292,2084.156
293,2082.031
294,2089.347
295,2084.173
296,2085.702
297,2093.284
298,2091.093
299,2095.645
300,2096.098
301,2093.796
302,2091.618
303,2095.004
304,2093.115
305,2094.635
306,2089.165
307,2098.316
308,2089.253
309,2088.564
310,2097.960
311,2098.307
312,2094.382
313,2090.911
314,2094.827
315,2098.818
316,2102.680
317,2094.898
318,2101.422
319,2099.493
320,2106.996
321,2105.471
322,2099.782
323,2106.075
324,2104.911
325,2106.893
326,2104.867
327,2114.885
328,2113.298
329,2106.151
330,2112.280
331,2118.840
332,2108.462
333,2110.729
334,2111.760
335,2118.542
336,2116.022
337,2110.738
338,2111.080
339,2114.707
340,2111.231
341,2108.409
342,2108.925
343,2116.200
344,2121.911
345,2118.796
346,2124.560
347,2115.587
348,2124.987
349,2116.280
350,2112.489
351,2124.062
352,2105.529
353,2117.662
354,2116.080
355,2115.249
356,2111.058
357,2112.951
358,2111.787
359,2113.569
360,2117.764
361,2115.022
362,2101.173
363,2102.764
364,2104.942
365,2111.760
366,2113.151
367,2103.538
368,2106.880
369,2099.355
370,2103.676
371,2107.578
372,2098.293
373,2098.951
374,2093.582
375,2104.831
376,2103.880
377,2105.138
378,2103.942
379,2102.347
380,2101.382
381,2093.809
382,2101.742
383,2103.298
384,2105.849
385,2093.751
386,2103.280
387,2098.044
388,2103.760
389,2100.964
390,2105.964
391,2097.165
392,2111.760
393,2107.938
394,2102.222
395,2104.471
396,2105.680
397,2113.747
398,2101.151
