X,Y
1,421
2,408
3,421
4,412
5,421
6,398
7,405
8,399
9,405
10,392
11,411
12,405
13,411
14,401
15,411
16,416
17,414
18,388
19,399
20,407
21,398
22,391
23,421
24,404
25,394
26,401
27,385
28,384
29,401
30,399
31,402
32,376
33,397
34,385
35,393
36,409
37,407
38,406
39,396
40,401
41,400
42,406
43,408
44,417
45,444
46,437
47,440
48,451
49,435
50,462
51,454
52,457
53,452
54,450
55,450
56,442
57,449
58,451
59,458
60,450
61,436
62,447
63,450
64,451
65,454
66,451
67,448
68,436
69,442
70,438
71,451
72,433
73,432
74,434
75,429
76,434
77,443
78,457
79,437
80,436
81,442
82,454
83,426
84,426
85,439
86,434
87,446
88,443
89,417
90,442
91,431
92,437
93,438
94,413
95,431
96,425
97,423
98,417
99,433
100,416
101,428
102,421
103,412
104,425
105,420
106,428
107,423
108,406
109,417
110,412
111,421
112,413
113,415
114,412
115,416
116,404
117,397
118,413
119,408
120,416
121,414
122,392
123,394
124,402
125,410
126,395
127,393
128,388
129,405
130,389
131,399
132,412
133,405
134,394
135,397
136,390
137,406
138,400
139,401
140,404
141,404
142,381
143,402
144,400
145,395
146,391
147,405
148,398
149,393
150,397
151,381
152,397
153,403
154,394
155,391
156,379
157,401
158,409
159,399
160,393
161,395
162,391
163,404
164,411
165,425
166,431
167,436
168,414
169,440
170,456
171,458
172,430
173,457
174,456
175,444
176,450
177,446
178,440
179,436
180,446
181,437
182,445
183,432
184,451
185,460
186,453
187,447
188,449
189,447
190,440
191,445
192,443
193,454
194,432
195,449
196,436
197,447
198,428
199,447
200,440
201,426
202,430
203,428
204,428
205,425
206,444
207,428
208,446
209,429
210,423
211,437
212,441
213,433
214,425
215,435
216,430
217,428
218,427
219,447
220,436
221,422
222,440
223,409
224,443
225,416
226,427
227,426
228,410
229,411
230,396
231,419
232,394
233,404
234,395
235,409
236,417
237,422
238,396
239,407
240,395
241,399
242,400
243,403
244,406
245,412
246,394
247,415
248,386
249,396
250,406
251,407
252,404
253,402
254,390
255,391
256,388
257,387
258,398
259,396
260,397
261,400
262,405
263,390
264,402
265,392
266,400
267,374
268,403
269,402
270,382
271,374
272,386
273,386
274,391
275,379
276,401
277,381
278,390
279,393
280,380
281,389
282,393
283,400
284,387
285,421
286,422
287,431
288,424
289,448
290,438
291,451
292,435
293,442
294,441
295,440
296,446
297,454
298,437
299,440
300,452
301,446
302,454
303,452
304,440
305,440
306,451
307,423
308,424
309,437
310,456
311,424
312,426
313,456
314,438
315,446
316,441
317,441
318,448
319,437
320,431
321,425
322,432
323,438
324,424
325,435
326,429
327,437
328,432
329,429
330,429
331,437
332,418
333,433
334,427
335,421
336,412
337,426
338,415
339,418
340,408
341,427
342,414
343,419
344,418
345,405
346,408
347,404
348,410
349,399
350,402
351,396
352,422
353,409
354,405
355,432
356,409
357,400
358,411
359,416
360,392
361,392
362,397
363,387
364,391
365,416
366,406
367,402
368,395
369,401
370,412
371,411
372,403
373,406
374,386
375,394
376,382
377,386
378,413
379,404
380,376
381,389
382,392
383,387
384,379
385,379
386,382
387,394
388,388
389,393
390,399
391,375
392,401
393,400
394,381
395,409
396,382
397,379
398,382
399,381
400,373
401,378
402,391
403,379
404,387
405,378
406,395
407,408
408,392
409,428
410,431
411,417
412,433
413,448
414,422
415,415
416,452
417,439
418,444
419,448
420,436
421,444
422,450
423,441
424,454
425,444
426,436
427,438
428,445
429,445
430,432
431,435
432,442
433,442
434,452
435,446
436,441
437,448
438,421
439,444
440,430
441,434
442,430
443,415
444,422
445,425
446,425
447,422
448,415
449,436
450,423
451,422
452,434
453,425
454,415
455,433
456,418
457,415
458,406
459,422
460,413
461,434
462,418
463,426
464,416
465,418
466,416
467,413
468,419
469,420
470,401
471,420
472,404
473,400
474,392
475,395
476,394
477,413
478,399
479,404
480,403
481,399
482,413
483,402
484,404
485,381
486,386
487,397
488,400
489,412
490,397
491,409
492,385
493,402
494,387
495,373
496,407
497,402
498,411
499,380
500,391
501,395
502,387
503,392
504,389
505,393
506,383
507,387
508,386
509,403
510,395
511,381
512,409
513,378
514,386
515,387
516,388
517,395
518,391
519,386
520,385
521,377
522,392
523,384
524,399
525,382
526,398
527,400
528,396
529,409
530,402
531,418
532,429
533,423
534,433
535,454
536,446
537,439
538,446
539,428
540,425
541,459
542,443
543,438
544,440
545,434
546,445
547,435
548,428
549,437
550,439
551,434
552,446
553,440
554,426
555,429
556,426
557,435
558,442
559,432
560,435
561,423
562,435
563,455
564,430
565,434
566,441
567,428
568,422
569,436
570,416
571,434
572,417
573,428
574,414
575,441
576,444
577,422
578,418
579,427
580,413
581,420
582,412
583,418
584,417
585,428
586,394
587,409
588,423
589,408
590,404
591,409
592,418
593,403
594,396
595,412
596,401
597,401
598,386
599,412
600,401
601,405
602,400
603,397
604,395
605,391
606,386
607,393
608,408
609,384
610,394
611,396
612,391
613,384
614,393
615,396
616,398
617,388
618,405
619,392
620,385
621,395
622,401
623,389
624,390
625,401
626,405
627,400
628,379
629,385
630,387
631,371
632,400
633,389
634,363
635,386
636,413
637,394
638,388
639,377
640,376
641,395
642,373
643,387
644,390
645,372
646,383
647,395
648,392
649,411
650,403
651,407
652,435
653,424
654,440
655,421
656,439
657,449
658,447
659,445
660,436
661,430
662,462
663,451
664,443
665,452
666,424
667,424
668,461
669,449
670,454
671,434
672,438
673,438
674,470
675,430
676,430
677,423
678,431
679,439
680,438
681,453
682,430
683,416
684,420
685,413
686,420
687,418
688,416
689,450
690,447
691,450
692,420
693,431
694,424
695,428
696,427
697,418
698,425
699,432
700,422
701,424
702,419
703,426
704,427
705,403
706,407
707,427
708,425
709,434
710,416
711,418
712,420
713,412
714,411
715,406
716,406
717,415
718,385
719,400
720,404
721,396
722,400
723,418
724,389
725,400
726,396
727,402
728,393
729,389
730,391
731,396
732,414
733,393
734,397
735,419
736,390
737,399
738,382
739,385
740,393
741,373
742,389
743,405
744,397
745,400
746,390
747,382
748,401
749,385
750,386
751,391
752,389
753,374
754,402
755,396
756,394
757,385
758,387
759,378
760,401
761,394
762,395
763,379
764,380
765,389
766,390
767,388
768,386
769,382
770,402
771,408
772,416
773,388
774,426
775,436
776,432
777,435
778,440
779,442
780,450
781,418
782,441
783,419
784,443
785,426
786,444
787,452
788,430
789,446
790,444
791,447
792,439
793,431
794,429
795,440
796,433
797,426
798,448
799,418
800,414
801,434
802,438
803,418
804,426
805,438
806,419
807,452
808,434
809,434
810,418
811,425
812,423
813,415
814,442
815,425
816,438
817,439
818,415
819,429
820,426
821,417
822,407
823,433
824,417
825,423
826,415
827,404
828,421
829,417
830,407
831,422
832,412
833,428
834,402
835,389
836,420
837,412
838,407
839,397
840,401
841,416
842,401
843,393
844,423
845,420
846,402
847,400
848,397
849,390
850,389
851,395
852,408
853,388
854,394
855,391
856,385
857,410
858,399
859,384
860,373
861,380
862,377
863,395
864,388
865,375
866,386
867,384
868,400
869,391
870,389
871,389
872,397
873,387
874,382
875,393
876,394
877,383
878,392
879,385
880,385
881,385
882,386
883,387
884,381
885,382
886,383
887,391
888,380
889,376
890,386
891,372
892,410
893,414
894,413
895,412
896,416
897,404
898,430
899,417
900,426
901,444
902,432
903,424
904,433
905,443
906,437
907,436
908,444
909,437
910,439
911,432
912,443
913,432
914,426
915,430
916,439
917,425
918,426
919,425
920,421
921,432
922,441
923,413
924,424
925,427
926,430
927,440
928,427
929,434
930,419
931,425
932,415
933,446
934,430
935,410
936,430
937,441
938,413
939,421
940,423
941,416
942,423
943,440
944,406
945,430
946,395
947,426
948,415
949,403
950,419
951,421
952,415
953,407
954,398
955,404
956,425
957,414
958,415
959,399
960,409
961,404
962,388
963,401
964,398
965,392
966,424
967,403
968,390
969,395
970,391
971,392
972,382
973,401
974,399
975,380
976,398
977,409
978,390
979,384
980,389
981,386
982,394
983,399
984,408
985,400
986,386
987,408
988,380
989,390
990,397
991,385
992,374
993,381
994,394
995,399
996,381
997,373
998,385
999,390
1000,378
1001,392
1002,381
1003,374
1004,385
1005,401
1006,378
1007,390
1008,395
1009,381
1010,389
1011,376
1012,393
1013,397
1014,404
1015,412
1016,407
1017,412
1018,431
1019,433
1020,440
1021,441
1022,441
1023,428
1024,427
