X,Y
1,2036
2,1966
3,1908
4,1995
5,2005
6,2012
7,1988
8,2075
9,2044
10,2077
11,1967
12,2146
13,2008
14,2069
15,1965
16,1975
17,2034
18,1968
19,2078
20,2071
21,1942
22,1965
23,2038
24,1959
25,2014
26,1930
27,2058
28,1895
29,1979
30,1981
31,2078
32,2034
33,2029
34,1941
35,1950
36,2048
37,2032
38,1904
39,1957
40,1924
41,1860
42,1921
43,2010
44,1901
45,1898
46,1952
47,1945
48,2006
49,1893
50,1865
51,1917
52,1979
53,1980
54,1927
55,1964
56,1921
57,2001
58,1985
59,1891
60,1860
61,1907
62,1876
63,1948
64,1827
65,1949
66,2081
67,1978
68,1979
69,2068
70,1982
71,1960
72,1910
73,1845
74,1895
75,1996
76,1936
77,1882
78,1959
79,1958
80,1893
81,2037
82,1991
83,1998
84,1994
85,1954
86,2005
87,1975
88,2006
89,1998
90,1912
91,1999
92,2045
93,1948
94,1900
95,1954
96,2012
97,1917
98,1966
99,2027
100,1980
101,1948
102,1978
103,2026
104,1917
105,1994
106,2019
107,2003
108,2054
109,2055
110,1961
111,1990
112,1947
113,1983
114,1978
115,1921
116,1960
117,1934
118,2044
119,2018
120,2110
121,1978
122,1937
123,1975
124,2012
125,1976
126,1959
127,2073
128,2059
129,1950
130,1966
131,1957
132,2039
133,1929
134,1931
135,1919
136,2044
137,1979
138,2109
139,2026
140,1887
141,2060
142,2000
143,2036
144,2009
145,1993
146,1957
147,2110
148,2083
149,1923
150,1934
151,1885
152,1969
153,1944
154,1969
155,2059
156,2015
157,1965
158,2000
159,1995
160,1902
161,1983
162,1988
163,1989
164,1905
165,1912
166,2027
167,1839
168,1875
169,1940
170,1874
171,1807
172,1974
173,1916
174,1782
175,1911
176,1917
177,1900
178,1884
179,1932
180,2002
181,1826
182,1967
183,1901
184,1929
185,1822
186,1933
187,1913
188,2023
189,1988
190,1899
191,2005
192,2017
193,1953
194,1946
195,1986
196,1965
197,1857
198,2005
199,1944
200,1963
201,1954
202,2003
203,1988
204,1871
205,1948
206,1920
207,1865
208,1992
209,1990
210,2023
211,1965
212,1886
213,2043
214,1878
215,1928
216,1781
217,1940
218,1957
219,1834
220,1896
221,2007
222,1846
223,1924
224,2044
225,1909
226,1974
227,1906
228,1890
229,1859
230,2019
231,1990
232,2058
233,1961
234,1870
235,1973
236,1946
237,2014
238,1970
239,2055
240,2014
241,1977
242,1956
243,1956
244,1904
245,1951
246,1928
247,2080
248,1966
249,1865
250,1884
251,1970
252,1978
253,1941
254,2039
255,2033
256,1949
257,1916
258,1905
259,1906
260,1962
261,1900
262,1924
263,1968
264,1961
265,1934
266,1931
267,1899
268,1883
269,1965
270,2038
271,2015
272,1955
273,1968
274,1986
275,1887
276,1969
277,1976
278,2020
279,1975
280,1961
281,1889
282,1938
283,1920
284,1889
285,2003
286,1896
287,1923
288,1909
289,1972
290,1985
291,1948
292,1852
293,1942
294,1810
295,2008
296,1975
297,1835
298,1848
299,1932
300,1849
301,1815
302,2056
303,1980
304,1818
305,1922
306,1897
307,1933
308,1925
309,1877
310,1899
311,1845
312,1902
313,1928
314,2013
315,1833
316,1897
317,1948
318,1909
319,1919
320,1983
321,1915
322,1967
323,1859
324,1997
325,1921
326,1963
327,1868
328,1963
329,1857
330,1959
331,1789
332,2034
333,1930
334,1917
335,2012
336,1966
337,1972
338,1909
339,1935
340,1949
341,1906
342,1815
343,1819
344,2035
345,1954
346,1953
347,1913
348,1991
349,1960
350,1788
351,1962
352,1938
353,2062
354,1995
355,1953
356,1947
357,1982
358,1916
359,1993
360,2011
361,2019
362,1913
363,1918
364,2005
365,2092
366,1992
367,1891
368,1930
369,2034
370,1929
371,1908
372,1924
373,1931
374,1960
375,1956
376,1927
377,1927
378,1972
379,1953
380,1901
381,1968
382,2051
383,2039
384,1907
385,2039
386,2059
387,1976
388,1982
389,1941
390,1921
391,1937
392,1931
393,1992
394,1955
395,1911
396,1861
397,1975
398,1897
399,1947
400,1863
401,1882
402,2024
403,1924
404,1833
405,1876
406,1846
407,1882
408,1921
409,1971
410,1959
411,1828
412,1923
413,1930
414,1937
415,1899
416,1847
417,1883
418,1792
419,1916
420,1926
421,1838
422,1864
423,1902
424,1917
425,1902
426,1889
427,1887
428,1941
429,1849
430,1759
431,1821
432,1858
433,1948
434,1890
435,1827
436,1939
437,1903
438,1860
439,1913
440,2035
441,1935
442,1881
443,1885
444,1940
445,1908
446,1857
447,1880
448,1976
449,1981
450,1903
451,1933
452,1971
453,1893
454,1981
455,1925
456,1894
457,1786
458,1943
459,1873
460,1927
461,1938
462,2011
463,2025
464,1984
465,2058
466,2091
467,1962
468,1987
469,2055
470,1944
471,1947
472,1876
473,2027
474,1931
475,1856
476,2018
477,1989
478,1953
479,1990
480,1928
481,1958
482,1917
483,1886
484,1875
485,1809
486,1957
487,1903
488,1981
489,1923
