name,group,by,parameter,base,post,Post-Base,Stdev.P_base,Stdev.P_Post,notes,"Analyzed for QT, QTc etc"
2016-12-21-RatA,Ctrl,DM,PR,44.76,55.08,10.32,,,,Poor signal
2016-12-21-RatB,Ctrl,DM,PR,35.48,43.96,8.48,,,,Poor signal
2016-12-22-RatB,MEHP,JH,PR,44.28,72.52,,1.010742,1.972207,,
2017-10-03-RatA,MEHP,JH,PR,49.82,56.48,6.66,0.24,0.713863,,
2017-10-12-RatA,Ctrl,DM,PR,39.54,43.44,3.9,1.561538,0.739189,,DM
2017-10-13-RatA,MEHP,JH,PR,40.9,57.48,16.58,0.565685,0.411825,,
2017-10-13-RatB,Ctrl,BS,PR,41.84,47.04,5.2,,,,
2017-10-24-RatA,MEHP,JH,PR,42.78,56.94,14.16,0.511468,0.431741,,
2017-10-24-RatB,Ctrl,JH,PR,34.82,37.12,2.3,0.64622,0.292575,,
2017-01-13-RatA,MEHP,DM,PR,nan,nan,,nan,nan,Subtle p-waves at end of study,
2017-01-27-RatB,Ctrl,DM,PR,44.72,50.6,5.88,,,,
2017-03-17-RatA,Ctrl,DM,PR,39.84,nan,,nan,nan,Subtle p-waves,
2017-03-17-RatB,Ctrl,JH,PR,45.22,46.86,1.64,0.928224,0.656049,,
2016-12-14-RatA,MEHP,JH,PR,nan,nan,,nan,nan,Only 16 minutes of data,
2016-12-15-RatA,MEHP,JH,PR,nan,nan,,nan,nan,Bad Signals,
2016-12-20-RatA,Ctrl,JH,PR,nan,nan,,nan,nan,Corrupted File - Will not open,
2017-02-17-RatA,Ctrl,JH,PR,39.84,nan,,0.65909,nan,,
2017-02-17-RatB,MEHP,JH,PR,nan,nan,,nan,nan,,
2017-03-01-RatA,Ctrl,JH,PR,66.54,122.3,55.76,1.399428,2.420744,,
2017-03-03-RatA,MEHP,JH,PR,38.88,47.44,8.56,2.103711,1.485396,,
2017-03-08-RatA,Ctrl,JH,PR,44.66,54.8,10.14,0.560714,1.232883,,
2017-03-08-RatB,MEHP,JH,PR,37,46.06,9.06,0.824621,1.08,,
2017-03-10-RatA,Ctrl,JH,PR,38.02,nan,,0.865794,nan,Heartblock during post PR,
2017-03-10-RatB,MEHP,JH,PR,46.44,76.4,29.96,0.32619,0.8,"PR=80ms prior to pacing, but its 28 minutes after MEHP",
2017-06-21-RatA,MEHP,JH,PR,36.18,44.48,8.3,1.199,1.337759,,
2017-07-07-RatB,MEHP,JH,PR,nan,nan,,nan,nan,Too much noise - cannot see P wave,
2017-11-13-RatA,MEHP,JH,PR,35.28,74.26,38.98,0.318748,0.402989,,
2018-04-24-RatA,Ctrl,,PR,,,,,,,
2016-12-21-RatA,Ctrl,JH,RR,nan,nan,,nan,nan,,
2016-12-21-RatB,Ctrl,JH,RR,nan,nan,,nan,nan,,
2016-12-22-RatB,MEHP,JH,RR,296.18,424.68,,5.861536,46.6358,,
2017-10-03-RatA,MEHP,JH,RR,226.82,304.74,,0.798499,3.114868,,
2017-10-12-RatA,Ctrl,DM,RR,190.28,263.22,,2.457967,19.70486,,
2017-10-13-RatA,MEHP,JH,RR,235.36,262.04,,0.332265,0.0638461,,
2017-10-13-RatB,Ctrl,,RR,,,,,,,
2017-10-24-RatA,MEHP,JH,RR,304.16,254.52,,1.963263,1.043839,,
2017-10-24-RatB,Ctrl,JH,RR,252.26,283.36,,0.471593,0.671118,,
2017-01-13-RatA,MEHP,,RR,nan,nan,,nan,nan,,
2017-01-27-RatB,Ctrl,,RR,,,,,,,
2017-03-17-RatA,Ctrl,JH,RR,nan,nan,,nan,nan,,
2017-03-17-RatB,Ctrl,JH,RR,279.64,590.28,,5.034918,41.15023,,
2016-12-14-RatA,MEHP,JH,RR,nan,nan,,nan,nan,Only 16 minutes of data,
2016-12-15-RatA,MEHP,JH,RR,nan,nan,,nan,nan,Bad Signals,
2016-12-20-RatA,Ctrl,JH,RR,nan,nan,,nan,nan,Corrupted File - Will not open,
2017-02-17-RatA,Ctrl,JH,RR,316.86,nan,,1.905316,nan,,
2017-02-17-RatB,MEHP,JH,RR,nan,nan,,nan,nan,,
2017-03-01-RatA,Ctrl,JH,RR,387.56,451.74,,36.53692,9.357478,,
2017-03-03-RatA,MEHP,JH,RR,305.62,427.36,,10.4214,12.78868,,
2017-03-08-RatA,Ctrl,JH,RR,337.64,320.02,,1.276871,3.562246,,
2017-03-08-RatB,MEHP,JH,RR,327.36,482.64,,2.147184,4.414793,,
2017-03-10-RatA,Ctrl,JH,RR,311.54,nan,,4.734807,nan,,
2017-03-10-RatB,MEHP,JH,RR,320.1,522.14,,1.32665,8.20551,,
2017-06-21-RatA,MEHP,JH,RR,221.64,275.82,,1.063203,3.376033,,
2017-07-07-RatB,MEHP,JH,RR,nan,nan,,nan,nan,,
2017-11-13-RatA,MEHP,JH,RR,243.16,297.52,,0.440908,0.767854,,
2018-04-24-RatA,Ctrl,,RR,,,,,,,
2016-12-21-RatA,Ctrl,JH,HR,nan,nan,,nan,nan,,
2016-12-21-RatB,Ctrl,JH,HR,nan,nan,,nan,nan,,
2016-12-22-RatB,MEHP,JH,HR,202.6584,142.8313,,3.989631,14.25013,,
2017-10-03-RatA,MEHP,JH,HR,264.5303,196.9097,,0.931346,2.014946,,
2017-10-12-RatA,Ctrl,DM,HR,315.3772,229.3533,,4.071311,18.8445,,
2017-10-13-RatA,MEHP,JH,HR,254.929,229.0171,,0.359713,3.203494,,
2017-10-13-RatB,Ctrl,,HR,,,,,,,
2017-10-24-RatA,MEHP,JH,HR,197.2728,235.7416,,1.279412,0.967153,,
2017-10-24-RatB,Ctrl,JH,HR,237.8507,211.7459,,0.444764,0.502116,,
2017-01-13-RatA,MEHP,,HR,nan,nan,,nan,nan,,
2017-01-27-RatB,Ctrl,,HR,,,,,,,
2017-03-17-RatA,Ctrl,JH,HR,nan,nan,,nan,nan,,
2017-03-17-RatB,Ctrl,JH,HR,214.6298,102.1822,,3.792177,7.697875,,
2016-12-14-RatA,MEHP,JH,HR,nan,nan,,nan,nan,Only 16 minutes of data,
2016-12-15-RatA,MEHP,JH,HR,nan,nan,,nan,nan,Bad Signals,
2016-12-20-RatA,Ctrl,JH,HR,nan,nan,,nan,nan,Corrupted File - Will not open,
2017-02-17-RatA,Ctrl,JH,HR,189.3647,nan,,1.137325,nan,,
2017-02-17-RatB,MEHP,JH,HR,nan,nan,,nan,nan,,
2017-03-01-RatA,Ctrl,JH,HR,156.1369,132.8778,,14.10597,2.805016,,
2017-03-03-RatA,MEHP,JH,HR,196.541,140.5198,,6.422124,4.114621,,
2017-03-08-RatA,Ctrl,JH,HR,177.7067,187.5114,,0.672034,2.092703,,
2017-03-08-RatB,MEHP,JH,HR,183.2922,124.3266,,1.207417,1.13725,,
2017-03-10-RatA,Ctrl,JH,HR,192.6358,nan,,2.904845,nan,,
2017-03-10-RatB,MEHP,JH,HR,187.4446,114.9402,,0.776515,1.803556,,
2017-06-21-RatA,MEHP,JH,HR,270.7153,217.566,,1.301751,2.692334,,
2017-07-07-RatB,MEHP,JH,HR,nan,nan,,nan,nan,,
2017-11-13-RatA,MEHP,JH,HR,246.7523,201.6684,,0.447376,0.520139,,
2018-04-24-RatA,Ctrl,,HR,,,,,,,
2016-12-21-RatA,Ctrl,JH,Pdur,nan,nan,,nan,nan,,
2016-12-21-RatB,Ctrl,JH,Pdur,nan,nan,,nan,nan,,
2016-12-22-RatB,MEHP,JH,Pdur,17.72,25.8,,0.928224,0.938083,,
2017-10-03-RatA,MEHP,JH,Pdur,28.76,24.18,,1.225724,0.31241,,
2017-10-12-RatA,Ctrl,DM,Pdur,13.18,14.46,,1.085173,0.135647,,
2017-10-13-RatA,MEHP,JH,Pdur,34.32,35.58,,0.957914,1.301384,,
2017-10-13-RatB,Ctrl,,Pdur,,,,,,,
2017-10-24-RatA,MEHP,JH,Pdur,15.26,14.16,,0.492341,0.233238,,
2017-10-24-RatB,Ctrl,JH,Pdur,14.16,15.2,,0.440908,0.34641,,
2017-01-13-RatA,MEHP,,Pdur,nan,nan,,nan,nan,,
2017-01-27-RatB,Ctrl,,Pdur,,,,,,,
2017-03-17-RatA,Ctrl,JH,Pdur,nan,nan,,nan,nan,,
2017-03-17-RatB,Ctrl,JH,Pdur,14.92,13.46,,0.541849,0.508331,,
2016-12-14-RatA,MEHP,JH,Pdur,nan,nan,,nan,nan,Only 16 minutes of data,
2016-12-15-RatA,MEHP,JH,Pdur,nan,nan,,nan,nan,Bad Signals,
2016-12-20-RatA,Ctrl,JH,Pdur,nan,nan,,nan,nan,Corrupted File - Will not open,
2017-02-17-RatA,Ctrl,JH,Pdur,21.32,nan,,0.581034,nan,,
2017-02-17-RatB,MEHP,JH,Pdur,nan,nan,,nan,nan,,
2017-03-01-RatA,Ctrl,JH,Pdur,25.52,51.38,,1.23677,3.894304,,
2017-03-03-RatA,MEHP,JH,Pdur,18.92,15.82,,1.44,1.660602,,
2017-03-08-RatA,Ctrl,JH,Pdur,19.64,17.56,,0.728286,1.538311,,
2017-03-08-RatB,MEHP,JH,Pdur,17.26,13.98,,0.788923,0.59127,,
2017-03-10-RatA,Ctrl,JH,Pdur,19.4,nan,,0.632456,nan,,
2017-03-10-RatB,MEHP,JH,Pdur,15.94,49.12,,0.496387,1.051475,,
2017-06-21-RatA,MEHP,JH,Pdur,16.8,17.46,,1.019804,1.420704,,
2017-07-07-RatB,MEHP,JH,Pdur,nan,nan,,nan,nan,,
2017-11-13-RatA,MEHP,JH,Pdur,12.06,15.46,,0.407922,0.135647,,
2018-04-24-RatA,Ctrl,,Pdur,,,,,,,
2016-12-21-RatA,Ctrl,JH,QRS,nan,nan,,nan,nan,,
2016-12-21-RatB,Ctrl,JH,QRS,nan,nan,,nan,nan,,
2016-12-22-RatB,MEHP,JH,QRS,21.96,31.08,,0.760526,2.047828,,
2017-10-03-RatA,MEHP,JH,QRS,17.78,22.54,,0.248193,0.691665,,
