______________________	______________________	______________________	______________________	______________________	
data file :	C:\Users\dmcculloug\Desktop\IOX\data\20171024-rata.mkt
saved on :	
______________________	______________________	______________________	______________________	______________________	
printed on :	december  12, 2018, at  10: 25: 44
export mode :	to text file
print author :	no_logged_user
print com :	no available comment
ecgAuto version :	3.3.5.6 []
original sample freq (Hz) :
	 ECG	2000
	 Bloom Out	2000
undersampling factor :		1
print sample freq (Hz) :		2000
______________________	______________________	______________________	______________________	______________________	

index	time ms	 ECG	
		V	


...................	...................	...................	...................	...................	...................	...................	...................	...................	
zone-start :	PR length exmple	time duration s :	00.00000	data duration s :	01.00000	stream section :	1
in-period :	op 1, p 1, r 1, p[r] 1	Noname #1	0.00e+00	
start period-time :	  00:51:13.501
start CPU time :	october  24, 2017, 14: 14: 42
start site-time :	  00:51:13.502
...................	...................	...................	...................	...................	...................	...................	...................	...................	
1	0.50000	-0.0708	
2	1.00000	-0.0717	
3	1.50000	-0.0696	
4	2.00000	-0.0687	
5	2.50000	-0.0671	
6	3.00000	-0.0677	
7	3.50000	-0.0677	
8	4.00000	-0.0677	
9	4.50000	-0.0684	
10	5.00000	-0.0681	
11	5.50000	-0.0687	
12	6.00000	-0.0656	
13	6.50000	-0.0638	
14	7.00000	-0.0644	
15	7.50000	-0.0647	
16	8.00000	-0.0671	
17	8.50000	-0.0687	
18	9.00000	-0.0702	
19	9.50000	-0.0702	
20	10.00000	-0.0720	
21	10.50000	-0.0742	
22	11.00000	-0.0739	
23	11.50000	-0.0735	
24	12.00000	-0.0732	
25	12.50000	-0.0732	
26	13.00000	-0.0726	
27	13.50000	-0.0732	
28	14.00000	-0.0723	
29	14.50000	-0.0772	
30	15.00000	-0.0778	
31	15.50000	-0.0766	
32	16.00000	-0.0766	
33	16.50000	-0.0745	
34	17.00000	-0.0732	
35	17.50000	-0.0732	
36	18.00000	-0.0720	
37	18.50000	-0.0708	
38	19.00000	-0.0677	
39	19.50000	-0.0677	
40	20.00000	-0.0693	
41	20.50000	-0.0681	
42	21.00000	-0.0684	
43	21.50000	-0.0681	
44	22.00000	-0.0687	
45	22.50000	-0.0659	
46	23.00000	-0.0620	
47	23.50000	-0.0623	
48	24.00000	-0.0616	
49	24.50000	-0.0632	
50	25.00000	-0.0632	
51	25.50000	-0.0644	
52	26.00000	-0.0647	
53	26.50000	-0.0656	
54	27.00000	-0.0650	
55	27.50000	-0.0671	
56	28.00000	-0.0656	
57	28.50000	-0.0635	
58	29.00000	-0.0638	
59	29.50000	-0.0629	
60	30.00000	-0.0620	
61	30.50000	-0.0604	
62	31.00000	-0.0641	
63	31.50000	-0.0647	
64	32.00000	-0.0644	
65	32.50000	-0.0620	
66	33.00000	-0.0610	
67	33.50000	-0.0601	
68	34.00000	-0.0565	
69	34.50000	-0.0558	
70	35.00000	-0.0537	
71	35.50000	-0.0519	
72	36.00000	-0.0510	
73	36.50000	-0.0513	
74	37.00000	-0.0504	
75	37.50000	-0.0494	
76	38.00000	-0.0488	
77	38.50000	-0.0482	
78	39.00000	-0.0473	
79	39.50000	-0.0409	
80	40.00000	-0.0406	
81	40.50000	-0.0403	
82	41.00000	-0.0406	
83	41.50000	-0.0406	
84	42.00000	-0.0424	
85	42.50000	-0.0430	
86	43.00000	-0.0421	
87	43.50000	-0.0427	
88	44.00000	-0.0436	
89	44.50000	-0.0424	
90	45.00000	-0.0421	
91	45.50000	-0.0400	
92	46.00000	-0.0391	
93	46.50000	-0.0385	
94	47.00000	-0.0375	
95	47.50000	-0.0381	
96	48.00000	-0.0412	
97	48.50000	-0.0403	
98	49.00000	-0.0381	
99	49.50000	-0.0369	
100	50.00000	-0.0357	
101	50.50000	-0.0333	
102	51.00000	-0.0323	
103	51.50000	-0.0311	
104	52.00000	-0.0296	
105	52.50000	-0.0269	
106	53.00000	-0.0272	
107	53.50000	-0.0269	
108	54.00000	-0.0272	
109	54.50000	-0.0269	
110	55.00000	-0.0259	
111	55.50000	-0.0259	
112	56.00000	-0.0214	
113	56.50000	-0.0195	
114	57.00000	-0.0204	
115	57.50000	-0.0204	
116	58.00000	-0.0208	
117	58.50000	-0.0220	
118	59.00000	-0.0232	
119	59.50000	-0.0229	
120	60.00000	-0.0229	
121	60.50000	-0.0241	
122	61.00000	-0.0250	
123	61.50000	-0.0232	
124	62.00000	-0.0232	
125	62.50000	-0.0226	
126	63.00000	-0.0223	
127	63.50000	-0.0220	
128	64.00000	-0.0214	
129	64.50000	-0.0266	
130	65.00000	-0.0253	
131	65.50000	-0.0247	
132	66.00000	-0.0235	
133	66.50000	-0.0223	
134	67.00000	-0.0211	
135	67.50000	-0.0198	
136	68.00000	-0.0192	
137	68.50000	-0.0183	
138	69.00000	-0.0165	
139	69.50000	-0.0168	
140	70.00000	-0.0165	
141	70.50000	-0.0171	
142	71.00000	-0.0165	
143	71.50000	-0.0174	
144	72.00000	-0.0165	
145	72.50000	-0.0150	
146	73.00000	-0.0098	
147	73.50000	-0.0110	
148	74.00000	-0.0110	
149	74.50000	-0.0125	
150	75.00000	-0.0134	
151	75.50000	-0.0150	
152	76.00000	-0.0171	
153	76.50000	-0.0171	
154	77.00000	-0.0189	
155	77.50000	-0.0195	
156	78.00000	-0.0180	
157	78.50000	-0.0180	
158	79.00000	-0.0174	
159	79.50000	-0.0162	
160	80.00000	-0.0165	
161	80.50000	-0.0165	
162	81.00000	-0.0198	
163	81.50000	-0.0211	
164	82.00000	-0.0195	
165	82.50000	-0.0192	
166	83.00000	-0.0189	
167	83.50000	-0.0174	
168	84.00000	-0.0162	
169	84.50000	-0.0156	
170	85.00000	-0.0153	
171	85.50000	-0.0137	
172	86.00000	-0.0113	
173	86.50000	-0.0125	
174	87.00000	-0.0134	
175	87.50000	-0.0137	
176	88.00000	-0.0134	
177	88.50000	-0.0140	
178	89.00000	-0.0134	
179	89.50000	-0.0082	
180	90.00000	-0.0076	
181	90.50000	-0.0089	
182	91.00000	-0.0092	
183	91.50000	-0.0098	
184	92.00000	-0.0119	
185	92.50000	-0.0125	
186	93.00000	-0.0131	
187	93.50000	-0.0140	
188	94.00000	-0.0162	
189	94.50000	-0.0150	
190	95.00000	-0.0146	
191	95.50000	-0.0140	
192	96.00000	-0.0134	
193	96.50000	-0.0134	
