______________________	______________________	______________________	______________________	______________________	______________________	
data file :	C:\Users\dmcculloug\Desktop\IOX\data\20171024-ratb.mkt
saved on :	
______________________	______________________	______________________	______________________	______________________	______________________	
printed on :	december  12, 2018, at  10: 33: 37
export mode :	to text file
print author :	no_logged_user
print com :	no available comment
ecgAuto version :	3.3.5.6 []
original sample freq (Hz) :
	 ECG	2000
	 Cam Fire	2000
	 Bloom Out	2000
undersampling factor :		1
print sample freq (Hz) :		2000
______________________	______________________	______________________	______________________	______________________	______________________	

index	time ms	 ECG	
		V	


...................	...................	...................	...................	...................	...................	...................	...................	...................	...................	
zone-start :	PR _ength	time duration s :	00.00000	data duration s :	01.00000	stream section :	1
in-period :	op 1, p 1, r 1, p[r] 1	Noname #1	0.00e+00	
start period-time :	  00:54:12.501
start CPU time :	october  24, 2017, 15: 58: 09
start site-time :	  00:54:12.502
...................	...................	...................	...................	...................	...................	...................	...................	...................	...................	
1	0.50000	-0.0885	
2	1.00000	-0.0867	
3	1.50000	-0.0854	
4	2.00000	-0.0778	
5	2.50000	-0.0772	
6	3.00000	-0.0772	
7	3.50000	-0.0772	
8	4.00000	-0.0803	
9	4.50000	-0.0778	
10	5.00000	-0.0766	
11	5.50000	-0.0787	
12	6.00000	-0.0784	
13	6.50000	-0.0806	
14	7.00000	-0.0818	
15	7.50000	-0.0809	
16	8.00000	-0.0793	
17	8.50000	-0.0800	
18	9.00000	-0.0784	
19	9.50000	-0.0772	
20	10.00000	-0.0787	
21	10.50000	-0.0833	
22	11.00000	-0.0830	
23	11.50000	-0.0809	
24	12.00000	-0.0781	
25	12.50000	-0.0760	
26	13.00000	-0.0769	
27	13.50000	-0.0751	
28	14.00000	-0.0729	
29	14.50000	-0.0723	
30	15.00000	-0.0674	
31	15.50000	-0.0653	
32	16.00000	-0.0647	
33	16.50000	-0.0635	
34	17.00000	-0.0632	
35	17.50000	-0.0623	
36	18.00000	-0.0616	
37	18.50000	-0.0552	
38	19.00000	-0.0519	
39	19.50000	-0.0525	
40	20.00000	-0.0522	
41	20.50000	-0.0537	
42	21.00000	-0.0549	
43	21.50000	-0.0525	
44	22.00000	-0.0534	
45	22.50000	-0.0546	
46	23.00000	-0.0549	
47	23.50000	-0.0577	
48	24.00000	-0.0577	
49	24.50000	-0.0574	
50	25.00000	-0.0555	
51	25.50000	-0.0555	
52	26.00000	-0.0546	
53	26.50000	-0.0555	
54	27.00000	-0.0604	
55	27.50000	-0.0601	
56	28.00000	-0.0580	
57	28.50000	-0.0562	
58	29.00000	-0.0546	
59	29.50000	-0.0549	
60	30.00000	-0.0549	
61	30.50000	-0.0516	
62	31.00000	-0.0504	
63	31.50000	-0.0470	
64	32.00000	-0.0443	
65	32.50000	-0.0439	
66	33.00000	-0.0427	
67	33.50000	-0.0430	
68	34.00000	-0.0412	
69	34.50000	-0.0406	
70	35.00000	-0.0378	
71	35.50000	-0.0314	
72	36.00000	-0.0320	
73	36.50000	-0.0320	
74	37.00000	-0.0327	
75	37.50000	-0.0348	
76	38.00000	-0.0323	
77	38.50000	-0.0339	
78	39.00000	-0.0351	
79	39.50000	-0.0363	
80	40.00000	-0.0375	
81	40.50000	-0.0388	
82	41.00000	-0.0385	
83	41.50000	-0.0375	
84	42.00000	-0.0369	
85	42.50000	-0.0363	
86	43.00000	-0.0357	
87	43.50000	-0.0403	
88	44.00000	-0.0424	
89	44.50000	-0.0409	
90	45.00000	-0.0400	
91	45.50000	-0.0375	
92	46.00000	-0.0369	
93	46.50000	-0.0375	
94	47.00000	-0.0357	
95	47.50000	-0.0339	
96	48.00000	-0.0305	
97	48.50000	-0.0272	
98	49.00000	-0.0269	
99	49.50000	-0.0256	
100	50.00000	-0.0262	
101	50.50000	-0.0256	
102	51.00000	-0.0247	
103	51.50000	-0.0220	
104	52.00000	-0.0156	
105	52.50000	-0.0162	
106	53.00000	-0.0165	
107	53.50000	-0.0168	
108	54.00000	-0.0177	
109	54.50000	-0.0174	
110	55.00000	-0.0162	
111	55.50000	-0.0180	
112	56.00000	-0.0186	
113	56.50000	-0.0214	
114	57.00000	-0.0214	
115	57.50000	-0.0217	
116	58.00000	-0.0211	
117	58.50000	-0.0204	
118	59.00000	-0.0189	
119	59.50000	-0.0189	
120	60.00000	-0.0208	
121	60.50000	-0.0259	
122	61.00000	-0.0241	
123	61.50000	-0.0229	
124	62.00000	-0.0220	
125	62.50000	-0.0195	
126	63.00000	-0.0214	
127	63.50000	-0.0192	
128	64.00000	-0.0174	
129	64.50000	-0.0162	
130	65.00000	-0.0122	
131	65.50000	-0.0110	
132	66.00000	-0.0104	
133	66.50000	-0.0098	
134	67.00000	-0.0089	
135	67.50000	-0.0085	
136	68.00000	-0.0076	
137	68.50000	-0.0024	
138	69.00000	 0.0009	
139	69.50000	-0.0003	
140	70.00000	-0.0006	
141	70.50000	-0.0009	
142	71.00000	-0.0024	
143	71.50000	-0.0021	
144	72.00000	-0.0037	
145	72.50000	-0.0049	
146	73.00000	-0.0058	
147	73.50000	-0.0089	
148	74.00000	-0.0082	
149	74.50000	-0.0082	
150	75.00000	-0.0076	
151	75.50000	-0.0067	
152	76.00000	-0.0067	
153	76.50000	-0.0070	
154	77.00000	-0.0128	
155	77.50000	-0.0131	
156	78.00000	-0.0110	
157	78.50000	-0.0104	
158	79.00000	-0.0082	
159	79.50000	-0.0089	
160	80.00000	-0.0092	
161	80.50000	-0.0067	
162	81.00000	-0.0058	
163	81.50000	-0.0027	
164	82.00000	 0.0003	
165	82.50000	 0.0009	
166	83.00000	 0.0012	
167	83.50000	 0.0009	
168	84.00000	 0.0003	
169	84.50000	 0.0003	
170	85.00000	 0.0040	
171	85.50000	 0.0110	
172	86.00000	 0.0098	
173	86.50000	 0.0082	
174	87.00000	 0.0076	
175	87.50000	 0.0055	
176	88.00000	 0.0067	
177	88.50000	 0.0055	
178	89.00000	 0.0055	
179	89.50000	 0.0031	
180	90.00000	 0.0003	
181	90.50000	-0.0009	
182	91.00000	-0.0006	
183	91.50000	 0.0000	
184	92.00000	 0.0000	
185	92.50000	 0.0003	
186	93.00000	 0.0000	
187	93.50000	-0.0040	
188	94.00000	-0.0058	
189	94.50000	-0.0049	
190	95.00000	-0.0037	
191	95.50000	-0.0034	
