subject,group,context,APD30_240,APD30_140,APD90_240,APD90_140,UP90_140,UP90_240,APDtri_240,APDtri_140
20161221-rata,ctrl,base,24.24,23.23,75.75,71.21,5.59,6.35,51.51,47.98
20161221-ratb,ctrl,base,15.15,17.68,61.61,63.63,4.55,4.55,46.46,45.95
20161222-rata,mehp,base,15.7,18.18,56.56,53.53,5.28,5.05,40.86,35.35
20161222-ratb,mehp,base,19.7,20.71,76,68.68,5.75,4.91,56.3,47.97
20170113-rata,mehp,base,13.88,14.41,69.41,61.59,2.58,2.91,55.53,47.18
20170127-rata,ctrl,base,17.23,17.8,75.15,66.95,3.9,3.71,57.92,49.15
20170217-rata,ctrl,base,NA,NA,NA,NA,NA,NA,NA,NA
20170217-ratb,mehp,base,16.16,18.69,69.69,63.13,4.76,4.44,53.53,44.44
20170310-rata,mehp,base,NA,NA,NA,NA,4.98,4.71,NA,NA
20170310-ratb,mehp,base,20.2,22.22,75,75.75,6.64,6.06,54.8,53.53
20161221-rata,ctrl,post,29.8,35.9,NA,103.53,7.5,7.21,NA,67.63
20161221-ratb,ctrl,post,19.7,20.71,74.74,67.67,4.62,4.91,55.04,46.96
20161222-rata,mehp,post,23.23,23.74,80.3,68.68,6.37,5.48,57.07,44.94
20161222-ratb,mehp,post,24.24,32.32,99.99,70.2,NA,9.34,75.75,37.88
20170113-rata,mehp,post,18.08,17.8,82.49,68.93,3.2,2.64,64.41,51.13
20170127-rata,ctrl,post,20.62,19.49,88.71,66.95,4.31,4.2,68.09,47.46
20170217-rata,ctrl,post,21.21,20.38,62.12,57.07,6.71,6.44,40.91,36.69
20170217-ratb,mehp,post,20.71,22.22,91.41,78.78,5.27,4.85,70.7,56.56
20170310-rata,mehp,post,18.69,19.7,99.99,61.11,NA,NA,81.3,41.41
20170310-ratb,mehp,post,31.82,31.82,108.58,94.44,9.67,8.4,76.76,62.62
20180522-rata,mehp,base,19.36,21.39,66.28,61.62,NA,NA,46.92,40.23
20180522-rata,mehp,post,26.06,24.59,91.85,71.38,NA,NA,65.79,46.79
20180619-rata,ctrl,base,12.8,15.04,81.32,74.66,NA,NA,68.52,59.62
20180619-rata,ctrl,post,12.8,14.86,75.13,77.31,NA,NA,62.33,62.45
20180619-ratb,mehp,base,14.45,21.76,75.54,81.73,NA,NA,61.09,59.97
