BCL,Ctrl,,MEHP,
250,65.8382857142857,2.68552476534963,75.0027380952381,5.92131871702908
240,65.5405714285714,3.62307311208458,74.0421428571429,0.919433979977593
230,65.5065,4.1249801514674,71.8933333333334,1.51972927961973
220,66.114,6.31414919050857,70.841875,1.50396888127159
210,64.1422222222222,4.13998419511506,69.4032638888889,0.327144741424271
200,62.8368888888889,4.12752596809324,67.7593099415205,1.98058620029415
190,61.85,3.71584445314924,65.774,0.931460501935891
180,61.8516,4.82658396798398,64.3051845238095,3.03634693727479
170,62.174,4.19933089908381,62.2231818181818,3.6612115488605
160,63.851,3.5490498728533,63.1916666666667,4.98385922531695
150,61.7246666666667,4.14735364084402,59.055282051282,7.06443078878217
140,59.4344615384616,6.29665475193686,60.8044078144078,7.10990532984122
130,59.4344615384616,5.20940121943867,57.2306944444444,7.54416156906072
120,57.2362666666667,7.18489454960118,56.0987361111111,7.3467568383774
110,55.1510588235294,6.85385505645896,54.8613071895425,8.20777532066199
100,53.097052631579,7.00972942365095,51.8935,9.62584461229247
90,52.1328571428572,4.8810161203736,nan,nan
80,49.9164285714286,2.65501028092863,nan,nan
