subject,group,base,post,valid
10/12/2017 Rat A,control,100,130,TRUE
10/13/2017 Rat B,control,120,130,TRUE
10/24/2017 Rat B,control,110,110,TRUE
20161118,control,130,140,TRUE
20180619,control,194,193,FALSE
20180824,control,,133,TRUE
20180725,control,,133,TRUE
20180328_B,control,,110,TRUE
10/3/2017 Rat A,MEHP,110,130,TRUE
10/13/2017 Rat A,MEHP,110,130,TRUE
10/24/2017 Rat A,MEHP,120,130,TRUE
20161215,MEHP,100,120,TRUE
20171003,MEHP,110,130,TRUE
20180522_A,MEHP,142,166,TRUE
20180720_A,MEHP,133,190,TRUE
20180806_A,MEHP,145,176,TRUE
20171113_A,MEHP,,230,TRUE
20171027,MEHP,150,330,FALSE
