"Wavelength (nm)","298805 %T (Unpolarized)","298805 OD (Unpolarized)"
"300.00","1.27754E-04","5.89363"
"300.50","1.98714E-04","5.70177"
"301.00","4.46908E-05","6.34978"
"301.50","1.34341E-04","5.87179"
"302.00","1.17060E-04","5.93159"
"302.50","3.35099E-05","6.47483"
"303.00","-3.82358E-05","37.00000"
"303.50","-1.43022E-05","37.00000"
"304.00","2.69781E-05","6.56899"
"304.50","9.60151E-05","6.01766"
"305.00","-2.60336E-05","37.00000"
"305.50","1.06426E-04","5.97295"
"306.00","8.27686E-05","6.08213"
"306.50","1.46404E-06","7.83445"
"307.00","3.61914E-05","6.44139"
"307.50","3.20409E-05","6.49430"
"308.00","1.26156E-04","5.89909"
"308.50","3.05257E-05","6.51533"
"309.00","1.29664E-04","5.88718"
"309.50","-3.42884E-05","37.00000"
"310.00","9.04455E-05","6.04361"
"310.50","4.59191E-05","6.33801"
"311.00","3.97821E-05","6.40031"
"311.50","8.97260E-05","6.04708"
"312.00","1.92803E-04","5.71489"
"312.50","-4.34548E-05","37.00000"
"313.00","1.32802E-04","5.87680"
"313.50","7.40852E-05","6.13027"
"314.00","1.63226E-04","5.78721"
"314.50","9.31822E-05","6.03067"
"315.00","-8.49481E-05","37.00000"
"315.50","1.04863E-04","5.97938"
"316.00","1.73065E-04","5.76179"
"316.50","-4.84499E-05","37.00000"
"317.00","6.60910E-06","7.17986"
"317.50","2.84448E-04","5.54600"
"318.00","-1.39125E-05","37.00000"
"318.50","6.20764E-05","6.20707"
"319.00","1.33107E-04","5.87580"
"319.50","4.40055E-07","8.35649"
"320.00","5.98603E-05","6.22286"
"320.50","-5.64080E-05","37.00000"
"321.00","1.89879E-04","5.72152"
"321.50","2.83111E-05","6.54804"
"322.00","5.80522E-05","6.23618"
"322.50","-5.82350E-05","37.00000"
"323.00","-1.91988E-04","37.00000"
"323.50","8.50005E-06","7.07058"
"324.00","4.75816E-05","6.32256"
"324.50","4.61469E-05","6.33586"
"325.00","5.92539E-05","6.22728"
"325.50","1.78430E-04","5.74853"
"326.00","9.06879E-05","6.04245"
"326.50","1.72993E-04","5.76197"
"327.00","1.89210E-05","6.72306"
"327.50","4.05638E-05","6.39186"
"328.00","-1.17341E-04","37.00000"
"328.50","4.41885E-05","6.35469"
"329.00","-8.88570E-05","37.00000"
"329.50","6.47152E-05","6.18899"
"330.00","8.97764E-05","6.04684"
"330.50","5.85456E-05","6.23251"
"331.00","-1.85650E-04","37.00000"
"331.50","1.85359E-04","5.73199"
"332.00","6.52253E-05","6.18558"
"332.50","-1.97615E-04","37.00000"
"333.00","4.59330E-06","7.33788"
"333.50","1.20391E-04","5.91941"
"334.00","1.39471E-04","5.85552"
"334.50","-1.42672E-04","37.00000"
"335.00","1.25468E-04","5.90147"
"335.50","-1.49368E-04","37.00000"
"336.00","9.13784E-05","6.03916"
"336.50","1.39058E-04","5.85680"
"337.00","1.24737E-04","5.90400"
"337.50","1.24645E-04","5.90433"
"338.00","2.99782E-04","5.52319"
"338.50","-1.36562E-06","37.00000"
"339.00","-2.29663E-05","37.00000"
"339.50","1.07538E-04","5.96844"
"340.00","9.10646E-05","6.04065"
"340.50","7.35306E-05","6.13353"
"341.00","-6.97723E-06","37.00000"
"341.50","-8.55628E-05","37.00000"
"342.00","-4.18643E-05","37.00000"
"342.50","9.15934E-05","6.03814"
"343.00","-1.13003E-05","37.00000"
"343.50","2.71527E-04","5.56619"
"344.00","1.66594E-04","5.77834"
"344.50","-3.51699E-05","37.00000"
